PP,ML,LW
69,807,112
43,215,43
60,326,43
120,953,215
103,1073,266
154,1107,223
103,978,223
86,910,129
51,275,17
51,283,9
94,892,103
112,1184,180
189,1313,215
146,1030,172
103,867,154
43,257,51
60,300,26
154,944,146
180,953,266
120,1055,223
129,1081,240
77,858,129
60,335,43
34,275,17
154,1038,197
154,901,120
103,695,112
0,163,9
51,275,43
26,292,17
34,249,34
137,927,232
180,927,206
120,1098,189
137,1013,189
129,867,146
69,257,86
69,232,34
137,1081,215
206,970,275
257,1261,189
249,1081,163
137,884,163
60,292,51
17,215,43
103,1201,249
180,1124,180
189,1030,129
112,1047,146
51,824,112
69,275,17
34,335,9
120,652,154
77,420,60
43,197,17
103,618,154
206,721,94
94,266,34
26,197,43
189,970,172
51,712,51
69,197,34
154,721,163
137,892,112
86,206,51
112,172,26
223,961,69
172,1133,197
283,978,180
146,1030,180
369,686,146
86,223,34
69,266,26
189,961,163
223,961,266
223,1116,146
215,1073,112
180,721,163
94,240,34
60,197,9
154,729,120
257,910,172
189,1004,206
318,935,172
232,927,103
17,318,9
69,318,43
172,892,163
189,935,172
137,1038,206
197,858,146
197,867,69
60,343,51
60,206,34
249,824,189
206,1004,189
120,1055,172
154,1030,249
206,858,343
103,257,34
77,180,26
197,1167,206
223,1081,232
163,1107,266
223,953,103
154,729,215
69,300,34
51,206,26
223,747,60
249,875,189
300,987,240
257,1073,163
112,884,154
86,266,51
189,206,34
283,798,240
275,1055,257
292,1038,206
240,1021,180
215,764,163
103,257,34
86,335,26
275,738,146
275,1090,189
240,807,266
232,935,172
146,858,249
120,257,26
103,180,86
206,798,189
257,910,180
232,987,172
137,772,189
129,352,69
103,215,43
26,172,60
215,549,197
163,961,163
86,910,129
206,712,189
206,669,94
77,232,26
43,189,34
180,841,206
257,652,112
197,850,180
232,1184,172
189,704,163
77,240,34
103,266,34
197,944,154
180,1064,189
266,1055,189
249,918,309
275,755,215
94,283,17
86,223,51
249,850,146
249,1055,197
172,1124,154
232,1064,180
197,832,129
120,326,9
498,266,17
266,1227,189
275,1124,318
335,1116,283
395,987,206
197,686,129
146,309,34
112,215,51
283,1098,189
412,832,215
240,1073,223
172,953,189
266,789,180
172,232,43
112,232,86
360,1030,172
257,841,172
249,995,197
352,1073,240
180,558,163
103,369,34
94,257,60
266,918,197
283,927,215
232,875,197
360,918,249
275,850,232
94,378,43
77,249,17
412,1055,275
360,1236,232
369,1107,232
318,1244,180
283,1150,172
137,292,26
112,215,34
352,1219,180
360,1158,172
824,944,275
2377,1073,283
335,772,189
154,292,86
112,197,51
154,386,69
429,858,240
446,987,266
403,927,300
309,832,163
146,257,26
146,292,43
352,858,215
403,944,257
335,824,240
378,832,223
249,832,180
232,300,51
180,318,69
283,1004,275
386,953,240
420,1064,146
326,944,257
318,815,197
146,215,17
154,292,17
386,1107,309
463,1098,240
403,884,266
395,935,163
257,755,154
172,232,51
129,215,51
369,995,266
438,1098,172
369,978,215
498,995,283
403,961,137
94,403,9
120,232,26
360,1124,197
403,901,360
257,1004,189
360,738,197
240,412,60
94,249,26
103,215,51
283,807,206
403,1064,215
446,1124,275
489,987,77
515,807,189
180,378,34
146,300,51
275,1090,240
395,970,206
378,1098,163
343,1193,163
300,953,172
180,283,34
120,326,60
438,1013,154
343,995,266
455,1124,266
395,1013,232
395,910,240
206,369,26
163,335,43
326,1030,215
446,1201,283
360,1124,360
438,1261,257
515,841,146
223,369,26
275,257,86
463,1176,266
498,1064,215
403,1476,197
506,1167,249
403,1090,172
215,292,17
240,309,77
463,978,197
609,1124,249
403,1330,275
558,1021,300
592,1150,215
335,395,60
275,197,34
532,1021,197
601,1193,206
506,1184,232
532,1201,283
498,1038,206
275,326,77
343,343,86
455,1201,249
609,1158,257
403,1167,283
558,1098,163
523,1047,180
223,489,34
206,378,103
626,1176,206
635,1279,318
549,1004,266
669,1304,343
489,798,240
326,335,51
275,275,17
369,309,51
669,1210,309
875,1219,257
549,1399,300
609,1013,257
369,463,86
343,369,51
489,1210,420
669,1219,240
764,1064,326
695,1253,266
515,927,215
300,403,43
386,300,34
918,1150,343
789,1382,360
781,1201,386
927,1013,309
729,1021,223
257,369,43
352,455,17
789,1141,223
789,1158,249
995,1236,223
695,1124,266
678,1261,189
326,412,26
378,369,34
626,1193,275
935,1390,335
695,1373,283
686,1210,189
729,1116,197
240,489,51
309,429,43
747,1253,206
867,1227,189
712,1373,146
772,1279,223
489,1210,232
318,352,60
275,318,43
867,1347,249
850,1442,343
789,1253,249
944,1287,300
669,1279,180
352,360,43
257,412,69
789,1073,197
738,1244,369
635,1219,292
729,1399,309
446,970,137
275,335,43
429,472,26
112,292,69
